"","host_id","group","infector_id","infector_group","exposure_time","infectious_time","recovery_time"
"321",10324,1,7490,1,48,49,55
"322",10878,1,1691,1,50,51,56
"323",10951,1,8180,1,49,52,57
"324",876,1,8596,1,48,50,55
"325",1211,1,3760,1,47,48,55
"326",1691,1,7168,1,47,49,54
"327",1898,1,4664,1,48,49,54
"328",2848,1,4020,1,46,50,56
"329",3955,1,5930,1,52,53,56
"330",4238,1,4664,1,49,50,54
"331",4640,1,10756,1,49,50,54
"332",5327,1,9780,1,48,51,58
"333",7211,1,7443,1,48,53,58
"334",7285,1,7016,1,48,51,57
"335",7682,1,5053,1,50,52,56
"336",7978,1,10098,1,51,53,58
"337",8211,1,9817,1,46,49,56
"338",9281,1,4460,1,50,51,57
"339",9637,1,2766,1,47,50,54
"340",9754,1,4234,1,49,50,56
"341",10786,1,8171,1,44,48,54
"342",10899,1,2848,1,51,53,59
"343",1584,1,4238,1,51,53,58
"344",1670,1,2570,1,48,50,55
"345",3034,1,1,1,50,51,55
"346",3301,1,4234,1,49,51,58
"347",3410,1,1,1,50,52,59
"348",4766,1,5627,1,53,54,58
"349",4777,1,8042,1,49,50,56
"350",4843,1,10846,1,51,54,61
"351",5930,1,8801,1,50,51,58
"352",6404,1,3034,1,51,53,58
"353",6685,1,4238,1,50,52,59
"354",6828,1,6921,1,50,52,56
"355",7329,1,6974,1,53,54,57
"356",7347,1,10786,1,50,53,58
"357",7650,1,4234,1,49,50,56
"358",9927,1,876,1,51,53,60
"359",10567,1,9150,1,49,50,55
"360",10841,1,8180,1,51,53,57
"361",577,1,10756,1,51,54,58
"362",818,1,5170,1,49,52,58
"363",930,1,939,1,50,52,57
"364",1089,1,9281,1,53,55,66
"365",2963,1,4312,1,50,53,57
"366",3029,1,3034,1,52,53,58
"367",3350,1,9775,1,50,52,56
"368",4748,1,9054,1,50,53,59
"369",5055,1,6796,1,51,52,58
"370",5232,1,7650,1,53,55,59
"371",5268,1,818,1,54,55,59
"372",7528,1,5627,1,51,52,57
"373",7860,1,4202,1,50,52,58
"374",7866,1,3034,1,53,54,58
"375",8339,1,8423,1,51,52,57
"376",8808,1,10951,1,53,55,61
"377",8849,1,1389,1,48,52,57
"378",8850,1,8968,1,49,54,58
"379",9868,1,10731,1,53,54,60
"380",10245,1,10567,1,51,53,58
"381",10426,1,10841,1,54,55,60
"382",10731,1,10409,1,52,53,58
"383",301,1,8849,1,54,56,62
"384",1529,1,3760,1,48,50,57
"385",1785,1,10878,1,52,54,60
"386",2516,1,8423,1,51,54,58
"387",3128,1,10409,1,50,53,59
"388",3584,1,957,1,48,51,58
"389",3863,1,3410,1,55,56,62
"390",3935,1,818,1,52,54,60
"391",3948,1,3313,1,53,55,60
"392",4036,1,3584,1,51,53,59
"393",5911,1,6774,1,53,55,59
"394",6087,1,5228,1,51,54,61
"395",6304,1,6828,1,52,54,59
"396",6386,1,10567,1,51,53,58
"397",6652,1,1691,1,53,55,63
"398",7685,1,1898,1,53,55,60
"399",8245,1,4593,1,55,56,61
"400",8811,1,3453,1,54,56,59
"401",8828,1,10567,1,52,53,57
"402",9131,1,8339,1,53,54,61
"403",9132,1,5750,1,52,53,59
"404",9712,1,7465,1,51,53,59
"405",10904,1,5930,1,53,55,61
"406",123,1,1584,1,54,56,62
"407",125,1,3301,1,52,55,60
"408",780,1,3128,1,54,55,61
"409",847,1,8339,1,54,57,62
"410",855,1,10951,1,54,57,62
"411",1769,1,9667,1,52,54,60
"412",1965,1,10238,1,55,56,61
"413",1993,1,5930,1,53,55,60
"414",2337,1,6087,1,55,57,63
"415",3339,1,4640,1,51,53,58
"416",3453,1,4868,1,50,53,58
"417",4578,1,3339,1,54,57,61
"418",4593,1,9281,1,52,54,60
"419",4692,1,6620,1,53,54,58
"420",4883,1,7528,1,53,55,60
"421",5277,1,3935,1,54,57,62
"422",6198,1,8828,1,54,56,60
"423",6974,1,918,1,52,53,59
"424",7435,1,5392,1,53,55,60
"425",7446,1,818,1,55,57,62
"426",7594,1,9637,1,53,54,59
"427",7969,1,6910,1,51,54,61
"428",8064,1,6263,1,52,56,60
"429",8078,1,8052,1,53,55,62
"430",9173,1,7285,1,54,55,60
"431",9732,1,7860,1,54,55,60
"432",10144,1,7347,1,54,55,60
"433",10147,1,8833,1,53,54,59
"434",10173,1,10567,1,52,55,59
"435",10636,1,8339,1,53,55,61
"436",334,1,7644,1,53,54,59
"437",3028,1,7969,1,55,57,62
"438",4109,1,5055,1,53,55,60
"439",4311,1,7682,1,55,56,59
"440",4625,1,8849,1,53,54,60
"441",5299,1,10245,1,54,56,59
"442",5589,1,3034,1,53,55,60
"443",5833,1,8801,1,53,55,60
"444",6135,1,5750,1,51,55,60
"445",6594,1,6685,1,53,56,63
"446",7166,1,10147,1,56,57,62
"447",7244,1,9173,1,56,58,62
"448",7709,1,5232,1,55,57,63
"449",8505,1,6135,1,56,57,64
"450",9960,1,6198,1,57,58,62
"451",383,1,5911,1,56,57,61
"452",863,1,6404,1,56,59,65
"453",2069,1,1670,1,52,55,60
"454",2297,1,6685,1,53,55,61
"455",2696,1,6747,1,53,55,60
"456",3611,1,4883,1,56,57,62
"457",4420,1,5911,1,57,59,65
"458",5032,1,10245,1,54,55,60
"459",5036,1,3955,1,55,57,61
"460",5154,1,8828,1,55,56,61
"461",5214,1,7978,1,54,56,62
"462",5580,1,7675,1,50,56,63
"463",5695,1,4843,1,55,57,63
"464",6258,1,4692,1,55,56,60
"465",6541,1,9150,1,51,53,60
"466",6842,1,930,1,55,56,63
"467",7075,1,8833,1,53,54,60
"468",7112,1,9132,1,54,56,60
"469",7448,1,1699,1,55,58,63
"470",7879,1,4748,1,54,55,60
"471",8128,1,577,1,56,57,62
"472",8916,1,6842,1,58,59,65
"473",9211,1,2699,1,53,55,60
"474",9412,1,6541,1,55,57,61
"475",9683,1,10841,1,55,56,61
"476",10491,1,6774,1,53,54,62
"477",10538,1,7770,1,53,55,61
"478",10988,1,2297,1,56,58,62
"479",298,1,125,1,55,57,63
"480",313,1,10538,1,56,58,61
"481",329,1,5202,1,59,60,64
"482",434,1,4036,1,55,57,63
"483",960,1,8245,1,57,59,65
"484",1161,1,2904,1,57,60,66
"485",1439,1,5055,1,55,58,63
"486",1458,1,918,1,54,57,63
"487",2253,1,7709,1,59,60,65
"488",2457,1,7410,1,58,60,65
"489",2529,1,6404,1,54,55,61
"490",2671,1,8850,1,56,58,66
"491",3289,1,5695,1,58,60,65
"492",3575,1,10098,1,53,55,61
"493",4438,1,3948,1,56,60,65
"494",4592,1,301,1,57,59,66
"495",5176,1,6620,1,54,57,62
"496",5202,1,7347,1,54,57,61
"497",5469,1,9960,1,58,60,65
"498",5558,1,8828,1,55,57,63
"499",6138,1,10538,1,56,59,64
"500",7410,1,6652,1,55,56,61
"501",7723,1,5558,1,57,58,62
"502",7758,1,7860,1,53,57,62
"503",8765,1,5833,1,56,58,66
"504",9051,1,3029,1,54,55,61
"505",9394,1,6135,1,56,58,63
"506",10216,1,10173,1,57,60,65
"507",10238,1,7293,1,52,55,61
"508",10504,1,5277,1,58,59,66
"509",10696,1,9787,1,51,55,61
"510",10949,1,1965,1,57,59,64
"511",10953,1,5202,1,59,60,65
"512",72,1,1458,1,58,60,65
"513",430,1,3029,1,56,59,67
"514",771,1,7866,1,55,57,63
"515",1284,1,1769,1,56,58,62
"516",1380,1,7866,1,56,57,62
"517",1634,1,7017,1,58,61,68
"518",1729,1,9196,1,59,61,66
"519",1795,1,5580,1,58,60,65
"520",1812,1,2963,1,55,57,63
"521",1928,1,4109,1,57,58,62
"522",2168,1,7969,1,56,58,65
"523",2676,1,10899,1,56,58,65
"524",2743,1,1812,1,60,61,65
"525",2904,1,1699,1,55,56,62
"526",3033,1,1965,1,57,59,66
"527",3581,1,10144,1,55,58,64
"528",5400,1,7211,1,56,58,64
"529",5952,1,5580,1,58,60,66
"530",6145,1,4625,1,54,57,62
"531",6720,1,11014,1,59,61,66
"532",6785,1,7879,1,56,58,63
"533",7017,1,4460,1,53,56,62
"534",7274,1,6828,1,54,57,62
"535",7916,1,7709,1,58,60,65
"536",8248,1,8811,1,58,60,65
"537",8390,1,430,1,60,61,66
"538",8860,1,10696,1,56,60,65
"539",9420,1,1928,1,59,60,65
"540",9502,1,7448,1,59,61,68
"541",9563,1,7446,1,58,60,66
"542",10007,1,430,1,60,61,65
"543",10012,1,6842,1,57,59,62
"544",10155,1,930,1,53,56,63
"545",10195,1,5154,1,57,60,65
"546",15,1,9960,1,59,60,65
"547",161,1,2457,1,61,62,66
"548",447,1,9051,1,56,59,64
"549",525,1,2963,1,56,59,63
"550",623,1,5176,1,59,62,68
"551",718,1,6842,1,59,60,67
"552",857,1,7723,1,59,60,66
"553",1174,1,1812,1,59,61,67
"554",1302,1,8849,1,54,55,64
"555",1782,1,7000,1,61,62,69
"556",2151,1,5327,1,56,58,64
"557",2249,1,313,1,60,62,67
"558",3176,1,3935,1,56,59,65
"559",4039,1,9748,1,60,62,67
"560",4050,1,5268,1,57,58,63
"561",4388,1,72,1,61,62,67
"562",7155,1,6135,1,56,58,65
"563",7159,1,5214,1,59,61,66
"564",7335,1,5032,1,56,59,64
"565",8308,1,2676,1,60,61,64
"566",8481,1,6785,1,59,60,65
"567",9114,1,3907,1,60,62,69
"568",9196,1,298,1,58,59,67
"569",9746,1,8505,1,59,60,66
"570",9748,1,6145,1,58,59,64
"571",10381,1,3029,1,54,58,64
"572",10511,1,3575,1,56,58,64
"573",10787,1,7435,1,57,61,66
"574",30,1,3539,1,62,63,69
"575",94,1,10504,1,60,62,68
"576",442,1,3863,1,58,60,65
"577",513,1,1778,1,61,63,68
"578",1362,1,6653,1,59,61,66
"579",1778,1,4109,1,56,60,64
"580",2090,1,8245,1,60,62,68
"581",2190,1,3308,1,61,63,69
"582",2280,1,577,1,55,59,65
"583",2596,1,3289,1,61,63,69
"584",2969,1,5541,1,62,63,69
"585",3032,1,8808,1,58,59,69
"586",3308,1,3028,1,58,60,65
"587",3539,1,525,1,60,61,66
"588",3907,1,10426,1,56,58,64
"589",4196,1,9051,1,57,62,67
"590",4214,1,7446,1,59,60,67
"591",4329,1,5469,1,61,63,68
"592",4509,1,334,1,55,57,64
"593",4750,1,6198,1,57,59,64
"594",4856,1,10778,1,60,62,67
"595",5011,1,2337,1,58,61,67
"596",5656,1,9509,1,59,60,67
"597",5828,1,5400,1,61,63,67
"598",5861,1,434,1,58,61,67
"599",5915,1,3032,1,60,61,65
"600",6653,1,334,1,56,58,64
"601",7829,1,7446,1,57,60,64
"602",8789,1,7274,1,59,60,65
"603",8810,1,1458,1,58,60,64
"604",8871,1,3611,1,57,60,67
"605",8901,1,7335,1,60,61,67
"606",9120,1,6304,1,55,59,65
"607",9688,1,8808,1,56,60,65
"608",9883,1,8871,1,62,63,68
"609",10300,1,1458,1,58,60,65
"610",10713,1,2671,1,59,60,66
"611",11,1,7829,1,63,64,69
"612",388,1,3032,1,60,62,66
"613",707,1,10491,1,57,59,65
"614",962,1,9746,1,62,64,69
"615",1064,1,847,1,59,61,66
"616",1687,1,9960,1,60,61,67
"617",1837,1,5400,1,58,60,66
"618",2277,1,9023,1,62,63,68
"619",2290,1,2151,1,60,61,67
"620",2523,1,3028,1,60,62,67
"621",2606,1,388,1,63,64,69
"622",3588,1,7000,1,62,64,69
"623",3653,1,3289,1,61,63,69
"624",3682,1,2290,1,62,63,68
"625",3764,1,4311,1,58,60,65
"626",3999,1,7159,1,63,64,68
"627",4512,1,9960,1,59,61,66
"628",4590,1,1647,1,63,64,68
"629",4603,1,8789,1,61,64,67
"630",4734,1,8810,1,61,62,67
"631",4973,1,6145,1,57,58,65
"632",5765,1,3032,1,61,62,69
"633",5908,1,2090,1,63,64,69
"634",6376,1,1161,1,61,62,68
"635",6396,1,11014,1,60,61,69
"636",6424,1,8505,1,59,60,65
"637",7086,1,1928,1,60,61,66
"638",7842,1,9023,1,62,64,69
"639",8355,1,9412,1,58,62,67
"640",8461,1,4750,1,61,64,70
"641",8608,1,1161,1,60,62,67
"642",8662,1,3289,1,61,63,68
"643",9264,1,8789,1,63,64,69
"644",9428,1,388,1,62,63,68
"645",9509,1,10245,1,56,59,67
"646",9589,1,5202,1,60,62,67
"647",9807,1,5695,1,62,64,68
"648",9945,1,7410,1,59,61,66
"649",9965,1,11014,1,60,63,69
"650",10438,1,5580,1,57,59,66
"651",10778,1,5299,1,58,60,67
"652",127,1,9509,1,61,64,69
"653",209,1,8916,1,60,63,67
"654",622,1,5011,1,62,64,69
"655",680,1,10195,1,61,63,71
"656",1031,1,8390,1,64,65,71
"657",1136,1,10511,1,60,62,67
"658",1267,1,442,1,60,63,67
"659",1500,1,2671,1,60,62,67
"660",2012,1,5011,1,61,64,69
"661",2317,1,771,1,58,59,66
"662",2325,1,5214,1,59,63,68
"663",3150,1,9120,1,61,63,67
"664",3196,1,960,1,60,62,66
"665",3733,1,10988,1,60,64,68
"666",3750,1,7916,1,62,65,70
"667",4186,1,2249,1,62,64,70
"668",4227,1,10438,1,60,63,69
"669",4351,1,7446,1,59,60,66
"670",4637,1,4578,1,58,61,66
"671",5235,1,3308,1,62,65,70
"672",5541,1,3907,1,60,61,66
"673",5591,1,1965,1,58,62,66
"674",5755,1,7086,1,63,64,68
"675",5816,1,10949,1,60,62,68
"676",6063,1,1634,1,62,63,70
"677",6324,1,5202,1,59,60,66
"678",6489,1,72,1,63,65,70
"679",6589,1,3611,1,59,60,69
"680",6957,1,10949,1,61,64,68
"681",7110,1,5765,1,62,65,71
"682",7229,1,9114,1,64,65,69
"683",7655,1,1064,1,62,63,69
"684",7835,1,8401,1,63,64,69
"685",7910,1,9746,1,61,64,70
"686",8029,1,6376,1,62,64,68
"687",8401,1,7244,1,59,60,66
"688",8491,1,10381,1,60,62,68
"689",8595,1,1161,1,61,63,68
"690",8865,1,5861,1,62,63,67
"691",8886,1,6396,1,62,63,68
"692",9030,1,8491,1,63,64,69
"693",9452,1,3542,1,64,65,70
"694",9700,1,1267,1,64,65,70
"695",10062,1,2671,1,60,61,66
"696",10159,1,9120,1,60,62,67
"697",10933,1,5816,1,63,65,71
"698",10989,1,6138,1,61,62,67
"699",11014,1,10491,1,56,59,66
"700",11029,1,5656,1,63,64,69
"701",710,1,10087,1,65,66,71
"702",916,1,5732,1,63,65,71
"703",1361,1,8810,1,61,63,69
"704",1377,1,8064,1,58,61,67
"705",1429,1,2743,1,63,66,70
"706",1690,1,10300,1,61,63,68
"707",1932,1,6063,1,64,65,71
"708",2057,1,960,1,61,65,72
"709",2220,1,9196,1,62,64,72
"710",2401,1,1085,1,62,66,70
"711",2442,1,4420,1,60,62,68
"712",2482,1,72,1,61,64,68
"713",2604,1,4227,1,64,65,71
"714",2656,1,1687,1,62,64,70
"715",3073,1,313,1,60,62,69
"716",3298,1,8491,1,63,64,70
"717",3448,1,1458,1,58,61,68
"718",4255,1,430,1,59,60,67
"719",4404,1,3539,1,62,64,68
"720",5145,1,5732,1,64,65,71
"721",5212,1,1377,1,62,64,69
"722",5215,1,9023,1,62,64,70
"723",5275,1,4512,1,64,66,70
"724",5766,1,8390,1,62,65,68
"725",5856,1,2442,1,65,66,73
"726",6133,1,10361,1,65,66,73
"727",6426,1,6324,1,63,64,69
"728",6605,1,3448,1,64,65,73
"729",6641,1,9452,1,65,66,71
"730",6975,1,1174,1,63,64,68
"731",7000,1,4578,1,58,61,69
"732",7150,1,2290,1,62,63,67
"733",7937,1,8871,1,61,64,71
"734",8003,1,6324,1,63,65,70
"735",8055,1,6720,1,62,63,68
